Gene stable ID,Gene Synonym,Gene name
ENSG00000299852,,
ENSG00000299870,,
ENSG00000299885,,
ENSG00000277400,,
ENSG00000274847,FLJ00219,MAFIP
ENSG00000274847,FLJ35473,MAFIP
ENSG00000274847,FLJ39633,MAFIP
ENSG00000274847,MIP,MAFIP
ENSG00000274847,PP5644,MAFIP
ENSG00000274847,TEKT4P4,MAFIP
ENSG00000307061,,
ENSG00000298772,,
ENSG00000276312,,
ENSG00000276700,,RNA5-8SN4
ENSG00000275757,,5_8S_rRNA
ENSG00000273739,,
ENSG00000298142,,
ENSG00000301406,,
ENSG00000307206,,
ENSG00000307077,,
ENSG00000310376,,
ENSG00000298793,,
ENSG00000310392,,
ENSG00000306938,,
ENSG00000310347,,
ENSG00000276932,,Y_RNA
ENSG00000302801,,
ENSG00000307088,,
ENSG00000306402,,
ENSG00000293753,,
ENSG00000299010,,
ENSG00000275063,,
ENSG00000277856,,
ENSG00000298751,,
ENSG00000298769,,
ENSG00000301091,,
ENSG00000303154,,
ENSG00000278384,,
ENSG00000301761,,
ENSG00000307122,,
ENSG00000307143,,
ENSG00000307166,,
ENSG00000274175,,
ENSG00000273554,,
ENSG00000275869,,
ENSG00000278510,,
ENSG00000273843,,
ENSG00000277836,,
ENSG00000294926,,
ENSG00000295260,,
ENSG00000295285,,
ENSG00000295455,,
ENSG00000295648,,
ENSG00000296644,,
ENSG00000301787,,
ENSG00000296798,,
ENSG00000297394,,
ENSG00000297936,,
ENSG00000300662,,
ENSG00000301410,,
ENSG00000303548,,
ENSG00000303746,,
ENSG00000304032,,
ENSG00000304964,,
ENSG00000305027,,
ENSG00000305713,,
ENSG00000306124,,
ENSG00000307249,,
ENSG00000308567,,
ENSG00000306474,,
ENSG00000309335,,
ENSG00000310156,,
ENSG00000296732,,
ENSG00000306526,,
ENSG00000296756,,
ENSG00000296775,,
ENSG00000298469,,
ENSG00000306901,,
ENSG00000277890,,U6
ENSG00000275249,,
ENSG00000274792,,
ENSG00000276872,,
ENSG00000276760,,
ENSG00000277927,,U6
ENSG00000294368,,
ENSG00000294897,,
ENSG00000297236,,
ENSG00000307608,,
ENSG00000309787,,
ENSG00000309802,,
ENSG00000278673,,
ENSG00000294916,,
ENSG00000291360,,RPL23AP45
ENSG00000291361,,
ENSG00000291362,FLJ20989,C8orf33
ENSG00000291364,,LINC02688
ENSG00000291363,MUC5,MUC5AC
ENSG00000293532,MLP,MUC2
ENSG00000293532,MUC-2,MUC2
ENSG00000288360,FLJ12221,ZSWIM4
ENSG00000288519,,
ENSG00000288240,,RN7SL619P
ENSG00000288498,LOC284454,MIR23AHG
ENSG00000288498,SMYCA,MIR23AHG
ENSG00000288126,HSA-MIR-24-2,MIR24-2
ENSG00000288126,MIRN24-2,MIR24-2
ENSG00000288183,HSA-MIR-27A,MIR27A
ENSG00000288183,MIRN27A,MIR27A
ENSG00000288462,HSA-MIR-23A,MIR23A
ENSG00000288462,MIRN23A,MIR23A
ENSG00000288505,NANOS1L,NANOS3
ENSG00000288505,NOS3,NANOS3
ENSG00000288505,ZC2HC12C,NANOS3
ENSG00000288397,HSA-MIR-181C,MIR181C
ENSG00000288397,MIRN181C,MIR181C
ENSG00000288329,HSA-MIR-181D,MIR181D
ENSG00000288329,MIRN181D,MIR181D
ENSG00000288152,C19ORF57,BRME1
ENSG00000288152,MEIOK21,BRME1
ENSG00000288152,MGC11271,BRME1
ENSG00000288293,AKI-1,CC2D1A
ENSG00000288293,FLJ20241,CC2D1A
ENSG00000288293,FREUD-1,CC2D1A
ENSG00000288293,LGD2,CC2D1A
ENSG00000288293,MRT3,CC2D1A
ENSG00000288293,TAPE,CC2D1A
ENSG00000288195,FLJ23447,PODNL1
ENSG00000288195,SLRR5B,PODNL1
ENSG00000288453,C19ORF72,DCAF15
ENSG00000288453,MGC99481,DCAF15
ENSG00000288283,EF-C,RFX1
ENSG00000288351,,
ENSG00000288474,H3,RLN3
ENSG00000288474,RXN3,RLN3
ENSG00000288474,ZINS4,RLN3
ENSG00000288441,,
ENSG00000288185,CRL1,IL27RA
ENSG00000288185,IL-27R,IL27RA
ENSG00000288185,TCCR,IL27RA
ENSG00000288185,WSX-1,IL27RA
ENSG00000288185,WSX1,IL27RA
ENSG00000288185,ZCYTOR1,IL27RA
ENSG00000288318,,PALM3
ENSG00000288278,,EEF1DP1
ENSG00000288191,,MISP3
ENSG00000288366,HSA-MIR-1199,MIR1199
ENSG00000288239,,C19orf67
ENSG00000288516,PKACA,PRKACA
ENSG00000288496,,
ENSG00000288210,FLJ10604,ASF1B
ENSG00000288348,,ADGRL1-AS1
ENSG00000288324,CIRL1,ADGRL1
ENSG00000288324,KIAA0821,ADGRL1
ENSG00000288324,LEC2,ADGRL1
ENSG00000288324,LPHN1,ADGRL1
ENSG00000288289,,RN7SL231P
ENSG00000288425,,
ENSG00000288433,,
ENSG00000288488,,SAMD1
ENSG00000291365,,CNTNAP3C
ENSG00000291366,,RN7SL462P
ENSG00000280864,,
ENSG00000281822,,RNU1-62P
ENSG00000280505,,MTCO3P47
ENSG00000280775,RN5S136,RNA5SP136
ENSG00000281766,AAP1,RYBP
ENSG00000281766,DEDAF,RYBP
ENSG00000281766,YEAF1,RYBP
ENSG00000288175,,SYT15B
ENSG00000288244,,
ENSG00000288157,CH17-360D5.1,NPY4R2
ENSG00000288304,,
ENSG00000288481,BA164N7.4,FAM25C
ENSG00000288424,BA164N7.2,AGAP12P
ENSG00000288424,CTGLF12P,AGAP12P
ENSG00000290627,CTGLF12P,AGAP12P
ENSG00000290627,PTPN20CP,AGAP12P
ENSG00000288201,RN5S315,RNA5SP315
ENSG00000288196,BA164N7.1,BMS1P7
ENSG00000288196,BMS1LP7,BMS1P7
ENSG00000288196,OTTHUMG00000018163,BMS1P7
ENSG00000288457,,
ENSG00000288522,,
ENSG00000288204,H6,HMX1
ENSG00000288204,NKX5-3,HMX1
ENSG00000288247,,
ENSG00000292327,PPP2R3L,PPP2R3B
ENSG00000292327,PPP2R3LY,PPP2R3B
ENSG00000292327,PR48,PPP2R3B
ENSG00000292327,PR70,PPP2R3B
ENSG00000292328,,RPL14P5
ENSG00000292329,,
ENSG00000292332,CD123,IL3RA
ENSG00000292333,P2Y8,P2RY8
ENSG00000292334,ANT3,SLC25A6
ENSG00000292334,ANT3Y,SLC25A6
ENSG00000292334,MGC17525,SLC25A6
ENSG00000292337,DHRSX-IT,DHRSX-IT1
ENSG00000292337,DHRSXIT1,DHRSX-IT1
ENSG00000292338,DHRS5X,DHRSX
ENSG00000292338,DHRS5Y,DHRSX
ENSG00000292338,DHRSXY,DHRSX
ENSG00000292338,DHRSY,DHRSX
ENSG00000292338,SDR46C1,DHRSX
ENSG00000292338,SDR7C6,DHRSX
ENSG00000292339,,ASMTL
ENSG00000292342,CXYORF10,LINC00685
ENSG00000292342,NCRNA00107,LINC00685
ENSG00000292342,OTTHUMT00000055574,LINC00685
ENSG00000292342,PPP2R3B-AS1,LINC00685
ENSG00000292344,FLJ11323,PLCXD1
ENSG00000292345,ALTE,ZBED1
ENSG00000292345,DREF,ZBED1
ENSG00000292345,HDREF,ZBED1
ENSG00000292345,KIAA0785,ZBED1
ENSG00000292345,TRAMP,ZBED1
ENSG00000292346,HSA-MIR-6089-1,MIR6089
ENSG00000292346,MIR6089-1,MIR6089
ENSG00000292346,MIR6089-2,MIR6089
ENSG00000292347,NCRNA00102,LINC00102
ENSG00000292347,OTTHUMT00000055623,LINC00102
ENSG00000292348,MIC2,CD99
ENSG00000292348,MIC2X,CD99
ENSG00000292348,MIC2Y,CD99
ENSG00000292350,,Metazoa_SRP
ENSG00000292352,FABP5L13,FABP5P13
ENSG00000292353,,KRT18P53
ENSG00000292354,GCFX,SHOX
ENSG00000292354,PHOG,SHOX
ENSG00000292354,SHOX1,SHOX
ENSG00000292354,SHOXY,SHOX
ENSG00000292354,SS,SHOX
ENSG00000292355,HSA-MIR-3690,MIR3690
ENSG00000292355,HSA-MIR-3690-2,MIR3690
ENSG00000292355,MIR3690-1,MIR3690
ENSG00000292355,MIR3690-2,MIR3690
ENSG00000292356,RN5S498,RNA5SP498
ENSG00000292361,CD99L1,CD99P1
ENSG00000292361,CXYORF12,CD99P1
ENSG00000292361,MIC2R,CD99P1
ENSG00000292361,NCRNA00103,CD99P1
ENSG00000292363,CRL2,CRLF2
ENSG00000292363,TSLPR,CRLF2
ENSG00000292343,721P,AKAP17A
ENSG00000292343,CCDC133,AKAP17A
ENSG00000292343,CXYORF3,AKAP17A
ENSG00000292343,DXYS155E,AKAP17A
ENSG00000292343,MGC39904,AKAP17A
ENSG00000292343,SFRS17A,AKAP17A
ENSG00000292343,XE7,AKAP17A
ENSG00000292343,XE7Y,AKAP17A
ENSG00000292336,ASMTY,ASMT
ENSG00000292336,HIOMT,ASMT
ENSG00000292336,HIOMTY,ASMT
ENSG00000292330,,
ENSG00000292357,ALPHAGMR,CSF2RA
ENSG00000292357,CD116,CSF2RA
ENSG00000292357,CSF2R,CSF2RA
ENSG00000310541,,
ENSG00000310543,,
ENSG00000310544,,
ENSG00000310545,,
ENSG00000310546,,
ENSG00000292331,ASMTL-AS,ASMTL-AS1
ENSG00000292331,ASMTLAS,ASMTL-AS1
ENSG00000292331,CXYORF2,ASMTL-AS1
ENSG00000292331,FLJ13330,ASMTL-AS1
ENSG00000292331,NCRNA00105,ASMTL-AS1
ENSG00000310547,,
ENSG00000310548,,
ENSG00000292349,,
ENSG00000292341,CXYORF8,LINC00106
ENSG00000292341,NCRNA00106,LINC00106
ENSG00000292341,OTTHUMG00000021061,LINC00106
ENSG00000310549,,
ENSG00000310551,,
ENSG00000310552,,
ENSG00000292335,,
ENSG00000310553,,
ENSG00000310554,,
ENSG00000310556,,
ENSG00000310540,AL683807.1,LINC02968
ENSG00000288372,,
ENSG00000288288,,
ENSG00000288129,,
ENSG00000288472,,LINC03015
ENSG00000292362,CD99L1,CD99P1
ENSG00000292362,CXYORF12,CD99P1
ENSG00000292362,MIC2R,CD99P1
ENSG00000292362,NCRNA00103,CD99P1
ENSG00000288417,,LINC03014
ENSG00000288502,,
ENSG00000288311,,
ENSG00000288449,,
ENSG00000288499,DKFZP547D065,FAM20C
ENSG00000288499,DMP4,FAM20C
ENSG00000288499,G-CK,FAM20C
ENSG00000288499,IMAGE:4942737,FAM20C
ENSG00000288159,,
ENSG00000288431,,
ENSG00000292360,,LINC03112
ENSG00000310557,,
ENSG00000292358,FLJ20977,GTPBP6
ENSG00000292358,PGPL,GTPBP6
ENSG00000292364,AMD,AMD1P2
ENSG00000292364,AMD2,AMD1P2
ENSG00000292364,AMDP1,AMD1P2
ENSG00000292364,AMDPX,AMD1P2
ENSG00000292364,AMDPY,AMD1P2
ENSG00000292365,,DPH3P2
ENSG00000292366,SYBL1,VAMP7
ENSG00000292366,TI-VAMP,VAMP7
ENSG00000292366,VAMP-7,VAMP7
ENSG00000292367,TCEB1P24,ELOCP24
ENSG00000292367,TCEB1P25,ELOCP24
ENSG00000292368,TRPC6L,TRPC6P1
ENSG00000292368,TRPC6P,TRPC6P1
ENSG00000292369,,
ENSG00000292371,,DDX11L16
ENSG00000292372,CXYORF1,WASH6P
ENSG00000292372,FAM39A,WASH6P
ENSG00000310550,,
ENSG00000310555,,
ENSG00000292370,NCRNA00286B,WASIR1
ENSG00000292373,CD129,IL9R
ENSG00000310542,,
ENSG00000215601,,TSPY24P
ENSG00000215603,,ZNF92P1Y
ENSG00000225878,,SERBP1P2
ENSG00000236435,TSPYP2,TSPY12P
ENSG00000258991,DUXY4,DUX4L19
ENSG00000224518,,
ENSG00000231988,OFD1P19,OFD1P3Y
ENSG00000231988,OFD1P19Y,OFD1P3Y
ENSG00000231988,OFD1P3,OFD1P3Y
ENSG00000231988,OFD1PY19,OFD1P3Y
ENSG00000231988,OFD1PY3,OFD1P3Y
ENSG00000231988,OFDYP3,OFD1P3Y
ENSG00000238073,,RBMY2HP
ENSG00000275866,,
ENSG00000271595,TCEB1P35,ELOCP35
ENSG00000183704,NHEDC1P1,SLC9B1P1
ENSG00000232927,USP12P3,USP12PY
ENSG00000277438,SMCYP,KDM5DP1
ENSG00000259154,DUXY3,DUX4L17
ENSG00000273863,,
ENSG00000271375,,
ENSG00000224634,,ZNF736P6Y
ENSG00000285470,TUSC2P,TUSC2P1
ENSG00000234620,FAM16AY,PUDPP1
ENSG00000234620,HDHD1BP,PUDPP1
ENSG00000234620,HDHD1P1,PUDPP1
ENSG00000236690,,
ENSG00000273693,C2ORF27AP1,CDRT15P10
ENSG00000114374,AZFA,USP9Y
ENSG00000114374,DFFRY,USP9Y
ENSG00000114374,FAF-Y,USP9Y
ENSG00000291371,,Y_RNA
ENSG00000291372,,RNU6-409P
ENSG00000291368,,ACR
ENSG00000291369,,
ENSG00000291370,,SNRPA1P2
ENSG00000292254,KIAA1650,SHANK3
ENSG00000292254,PROSAP2,SHANK3
ENSG00000292254,PSAP2,SHANK3
ENSG00000292254,SPANK-2,SHANK3
ENSG00000223422,,
ENSG00000225653,,RNF19BPY
ENSG00000228578,,TUBB1P2
ENSG00000275280,,
ENSG00000270242,,ACTR3BP1
ENSG00000236477,RPS24P,RPS24P1
ENSG00000237997,,RCC2P2
ENSG00000244246,,ZNF736P8Y
ENSG00000198692,,EIF1AY
ENSG00000183753,BPY2A,BPY2
ENSG00000183753,VCY2,BPY2
ENSG00000183753,VCY2A,BPY2
ENSG00000225433,,MTND1P12
ENSG00000235857,,CTBP2P1
ENSG00000223955,,MTND6P1
ENSG00000270455,,PABPC1P5
ENSG00000234385,,RCC2P1
ENSG00000226863,APXLP,SHROOM2P1
ENSG00000271365,,
ENSG00000259029,DUXY2,DUX4L18
ENSG00000215537,,ZNF736P11Y
ENSG00000229745,,BPY2DP
ENSG00000275828,CHEK2L1,CHEK2P1
ENSG00000232522,,ZNF886P
ENSG00000277519,OFD1P16,OFD1P16Y
ENSG00000277519,OFD1PY16,OFD1P16Y
ENSG00000277519,OFDYP16,OFD1P16Y
ENSG00000273731,,
ENSG00000215583,ASSP6,ASS1P6
ENSG00000274162,,SNX18P1Y
ENSG00000233774,CRSP2P,MED14P1
ENSG00000233774,CXORF4P,MED14P1
ENSG00000233774,MED14P,MED14P1
ENSG00000228764,,ZNF885P
ENSG00000232226,ARSFP,ARSFP1
ENSG00000224567,,
ENSG00000241200,,ZNF736P7Y
ENSG00000228518,,SURF6P1
ENSG00000274231,,
ENSG00000274502,,ANKRD20A6P
ENSG00000278854,,
ENSG00000225809,,RBMY2KP
ENSG00000232419,NCRNA00144,TTTY19
ENSG00000226906,LINC00123,TTTY4
ENSG00000226906,TTTY4A,TTTY4
ENSG00000226906,TTY4,TTTY4
ENSG00000230025,,
ENSG00000235649,ADLICANP,MXRA5Y
ENSG00000235649,MXRA5P,MXRA5Y
ENSG00000235649,MXRA5P1,MXRA5Y
ENSG00000258567,DUXY1,DUX4L16
ENSG00000234179,,MTCYBP1
ENSG00000271309,,
ENSG00000228240,NCRNA00140,TTTY17A
ENSG00000228240,TTTY17,TTTY17A
ENSG00000234652,,AGPAT5P1
ENSG00000218410,,
ENSG00000224989,FAM41AY,FAM41AY1
ENSG00000273858,,
ENSG00000227830,TRIM60P3,TRIM60P3Y
ENSG00000227830,TRIM60PY3,TRIM60P3Y
ENSG00000226529,,MTND1P1
ENSG00000274837,,
ENSG00000216777,BAT2D1P1,PRRC2CP1
ENSG00000216777,BAT2L2P1,PRRC2CP1
ENSG00000216824,,ZNF736P10Y
ENSG00000276829,,
ENSG00000283076,,
ENSG00000234850,,MTND2P3
ENSG00000270570,,
ENSG00000223517,,
ENSG00000228207,,
ENSG00000225117,ARSDP,ARSDP1
ENSG00000225117,ARSDY1,ARSDP1
ENSG00000228411,,CDY4P
ENSG00000229518,,UBE2V1P3
ENSG00000232730,FAM8A8P,FAM8A4P
ENSG00000244000,,
ENSG00000232764,TRIM60P8,TRIM60P8Y
ENSG00000232764,TRIM60PY8,TRIM60P8Y
ENSG00000236131,,MED13P1
ENSG00000227949,HCP46,CYCSP46
ENSG00000227949,HCP47,CYCSP46
ENSG00000252900,,RNU6-303P
ENSG00000252689,,
ENSG00000243980,,RN7SL702P
ENSG00000252315,RN5S520,RNA5SP520
ENSG00000252012,RN5S521,RNA5SP521
ENSG00000273966,,
ENSG00000252173,,RNU6-109P
ENSG00000252323,,RNU6-184P
ENSG00000169953,FLJ25453,HSFY2
ENSG00000236429,,GPM6BP2
ENSG00000249501,,USP9YP2
ENSG00000228193,TCEB1P14,ELOCP14
ENSG00000230904,,XKRYP2
ENSG00000238135,,USP9YP10
ENSG00000251970,,RNU1-41P
ENSG00000238088,OFD1P7,OFD1P7Y
ENSG00000238088,OFD1PY7,OFD1P7Y
ENSG00000238088,OFDYP7,OFD1P7Y
ENSG00000217179,,MTCYBP2
ENSG00000217896,,ZNF839P1
ENSG00000185275,CD24L4,CD24P4
ENSG00000252766,,RNU6-255P
ENSG00000288269,GGR,GCGR
ENSG00000274282,,
ENSG00000234529,,GAPDHP19
ENSG00000238191,KIAA0664L1,CLUHP1
ENSG00000238191,KIAA0664P1,CLUHP1
ENSG00000226353,,TAF9P1
ENSG00000226449,,CDY5P
ENSG00000225896,,ELOCP36
ENSG00000229129,ACTGP2,ACTG1P2
ENSG00000229129,ACTL2,ACTG1P2
ENSG00000223555,,USP9YP23
ENSG00000235521,,USP9YP27
ENSG00000252513,,RNU1-128P
ENSG00000224964,SEDLP3,TRAPPC2P3
ENSG00000225740,TCEB1P6,ELOCP6
ENSG00000229138,,CDY6P
ENSG00000224485,,USP9YP7
ENSG00000226116,CDY24P,USP9YP6
ENSG00000237558,,CDY7P
ENSG00000233378,,USP9YP34
ENSG00000237616,,USP9YP32
ENSG00000224033,,CDY8P
ENSG00000230412,TCEB1P12,ELOCP12
ENSG00000225895,TRAPPC2P3B,TRAPPC2P8
ENSG00000233120,,USP9YP15
ENSG00000252166,,RNU1-95P
ENSG00000232744,,USP9YP16
ENSG00000229465,,ACTG1P11
ENSG00000236599,TCEB1P26,ELOCP26
ENSG00000232899,,CDY9P
ENSG00000229302,,TAF9P2
ENSG00000228945,KIAA0664L2,CLUHP2
ENSG00000228945,KIAA0664P2,CLUHP2
ENSG00000278391,,
ENSG00000251953,RN5S522,RNA5SP522
ENSG00000252667,RN5S523,RNA5SP523
ENSG00000249726,,TUBB1P1
ENSG00000225716,TCEB1P13,ELOCP13
ENSG00000229406,OFD1P4,OFD1P4Y
ENSG00000229406,OFD1PY4,OFD1P4Y
ENSG00000229406,OFDYP4,OFD1P4Y
ENSG00000252209,,RNU1-48P
ENSG00000249634,,USP9YP5
ENSG00000238067,,XKRYP1
ENSG00000230377,TCEB1P7,ELOCP7
ENSG00000250951,,USP9YP1
ENSG00000230458,,GPM6BP1
ENSG00000235479,,RAB9AP4
ENSG00000249606,SEDLP7,TRAPPC2P7
ENSG00000267793,,
ENSG00000260197,,
ENSG00000012817,HY,KDM5D
ENSG00000012817,HYA,KDM5D
ENSG00000012817,JARID1D,KDM5D
ENSG00000012817,KIAA0234,KDM5D
ENSG00000012817,SMCY,KDM5D
ENSG00000288213,FAM195B,MCRIP1
ENSG00000288213,GRAN2,MCRIP1
ENSG00000288213,MCRIP,MCRIP1
ENSG00000288186,DYSFIP1,PPP1R27
ENSG00000288186,TOONIN,PPP1R27
ENSG00000172468,HSF2L,HSFY1
ENSG00000172468,HSFY,HSFY1
ENSG00000176679,,TGIF2LY
ENSG00000182415,CDY2,CDY2A
ENSG00000233126,ZNF381P,ZNF736P3Y
ENSG00000233126,ZNF736P3,ZNF736P3Y
ENSG00000227251,TRIM60P9,TRIM60P9Y
ENSG00000227251,TRIM60PY9,TRIM60P9Y
ENSG00000252633,,RN7SKP282
ENSG00000251996,,Y_RNA
ENSG00000252155,,RNU6-941P
ENSG00000252472,,RNU6-521P
ENSG00000224953,,SRIP3
ENSG00000274365,,
ENSG00000233634,GOT2Y,GOT2P5
ENSG00000237701,ATP5JP1,ATP5PFP1
ENSG00000273906,,
ENSG00000232976,TRIM60P10,TRIM60P10Y
ENSG00000232976,TRIM60PY10,TRIM60P10Y
ENSG00000226270,ZNF736P2,ZNF736P2Y
ENSG00000227837,TRIM60P11,TRIM60P11Y
ENSG00000227837,TRIM60PY11,TRIM60P11Y
ENSG00000278602,,
ENSG00000223978,ZNF736P1,ZNF736P1Y
ENSG00000278197,,
ENSG00000230819,,ZNF736P5Y
ENSG00000185894,VCY2C,BPY2C
ENSG00000228296,LINC00125,TTTY4C
ENSG00000205916,,DAZ4
ENSG00000129873,CDY,CDY2B
ENSG00000251841,,RNU6-1334P
ENSG00000184895,TDF,SRY
ENSG00000282162,,LINC01784
ENSG00000281934,,PRAMEF11
ENSG00000232195,,TOMM22P2
ENSG00000286130,,
ENSG00000129824,MGC119100,RPS4Y1
ENSG00000129824,MGC5070,RPS4Y1
ENSG00000129824,RPS4Y,RPS4Y1
